date,state,current,target
2017-02-10 09:11:26.829727,no job,56.8,71
2017-02-10 09:11:32.467404,no job,56.7,71
2017-02-10 09:11:38.026627,no job,56.6,71
2017-02-10 09:11:43.606172,no job,56.6,71
2017-02-10 09:11:49.234035,no job,56.5,71
2017-02-10 09:11:54.831384,no job,56.5,71
2017-02-10 09:12:00.395593,no job,56.5,71
2017-02-10 09:12:06.036236,no job,56.4,71
2017-02-10 09:12:11.611576,no job,56.4,71
2017-02-10 09:12:17.192230,no job,56.3,71
2017-02-10 09:12:22.775811,no job,56.3,71
2017-02-10 09:12:29.416644,no job,56.2,71
2017-02-10 09:12:35.028552,no job,56.1,71
2017-02-10 09:12:40.624739,no job,56.1,71
2017-02-10 09:12:46.195261,no job,56,71
2017-02-10 09:12:51.783803,no job,56,71
2017-02-10 09:12:57.397694,no job,55.9,71
2017-02-10 09:13:03.026309,no job,55.9,71
2017-02-10 09:13:08.783480,no job,55.8,71
2017-02-10 09:13:14.426237,no job,55.8,71
2017-02-10 09:13:20.091484,no job,55.7,71
2017-02-10 09:13:25.681293,no job,55.7,71
2017-02-10 09:13:31.288030,no job,55.6,71
2017-02-10 09:13:36.890255,no job,55.6,71
2017-02-10 09:13:43.055245,no job,55.5,71
2017-02-10 09:13:49.320346,no job,55.5,71
2017-02-10 09:13:54.908353,no job,55.4,71
2017-02-10 09:14:00.491767,no job,55.4,71
2017-02-10 09:14:06.105810,no job,55.3,71
2017-02-10 09:14:11.697148,no job,55.3,71
2017-02-10 09:14:17.413697,no job,55.2,71
2017-02-10 09:14:23.018288,no job,55.2,71
2017-02-10 09:14:28.610502,no job,55.1,71
2017-02-10 09:14:34.203434,no job,55.1,71
2017-02-10 09:14:39.841988,no job,55,71
2017-02-10 09:14:45.698246,no job,55,71
2017-02-10 09:14:51.267655,no job,54.9,71
2017-02-10 09:14:56.878344,no job,54.9,71
2017-02-10 09:15:02.457502,no job,54.8,71
2017-02-10 09:15:08.036791,no job,54.8,71
2017-02-10 09:15:13.788217,no job,54.7,71
2017-02-10 09:15:19.629582,no job,54.7,71
2017-02-10 09:15:25.483549,no job,54.6,71
2017-02-10 09:15:31.113064,no job,54.6,71
2017-02-10 09:15:36.690214,no job,54.6,71
2017-02-10 09:15:42.378833,no job,54.5,71
2017-02-10 09:15:48.204069,no job,54.4,71
2017-02-10 09:15:54.126366,no job,54.4,71
2017-02-10 09:15:59.745521,no job,54.3,71
2017-02-10 09:16:05.322987,no job,54.3,71
2017-02-10 09:16:10.929748,no job,54.3,71
2017-02-10 09:16:16.561749,no job,54.2,71
2017-02-10 09:16:22.172007,no job,54.2,71
2017-02-10 09:16:27.785212,no job,54.1,71
